,CONTRATAÇÃO DIRETA,CONTRATO,CONVÊNIO E CONGÊNERE,FINANÇAS PÚBLICAS,LICITAÇÃO,LICITAÇÃO INTERNACIONAL,OBRA E SERVIÇO DE ENGENHARIA,OUTRAS ÁREAS,PESSOAL,PLANEJAMENTO DA CONTRATAÇÃO,PRINCÍPIO,PROCESSUAL,PUBLICIDADE E PROPAGANDA,REGULAÇÃO,RESPONSABILIDADE,SERVIÇO TERCEIRIZADO,TECNOLOGIA DA INFORMAÇÃO
0,64,1,1,1,1,0,0,0,2,5,0,2,0,0,2,0,0
1,3,83,1,2,3,0,15,2,2,8,1,1,0,0,4,1,0
2,0,5,83,8,0,0,1,0,1,1,1,6,0,0,26,0,0
3,0,4,2,44,0,0,2,0,4,1,0,14,0,0,3,0,0
4,2,5,1,2,124,0,6,0,2,23,0,3,0,2,13,0,4
5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6,0,9,2,0,4,0,73,0,0,10,0,2,0,0,8,1,0
7,0,0,0,1,1,0,1,10,3,0,1,3,0,0,3,0,0
8,1,1,1,1,1,0,0,0,602,0,5,14,0,0,3,1,0
9,2,5,1,2,22,0,15,1,2,133,0,1,0,0,4,0,4
10,0,0,0,0,0,0,0,0,4,0,6,4,0,0,2,0,0
11,0,0,8,4,1,0,1,1,17,2,4,291,0,0,31,0,0
12,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,1,0,0,0,0,3,0,15,0,0,0
14,4,3,17,3,9,0,2,0,4,1,0,27,0,0,287,0,0
15,0,4,1,0,1,0,0,0,1,1,0,0,0,0,1,18,1
16,0,2,0,0,0,0,0,0,0,5,0,0,0,0,1,9,59
