,CONTRATAÇÃO DIRETA,CONTRATO,CONVÊNIO E CONGÊNERE,FINANÇAS PÚBLICAS,LICITAÇÃO,LICITAÇÃO INTERNACIONAL,OBRA E SERVIÇO DE ENGENHARIA,OUTRAS ÁREAS,PESSOAL,PLANEJAMENTO DA CONTRATAÇÃO,PRINCÍPIO,PROCESSUAL,PUBLICIDADE E PROPAGANDA,REGULAÇÃO,RESPONSABILIDADE,SERVIÇO TERCEIRIZADO,TECNOLOGIA DA INFORMAÇÃO
0,64,1,1,1,2,0,0,1,1,4,0,2,0,0,2,0,0
1,3,83,1,3,2,0,15,2,2,8,1,1,0,0,4,1,0
2,0,5,86,7,0,0,1,0,0,2,1,6,0,0,24,0,0
3,0,2,2,43,0,0,3,0,4,1,0,14,0,0,5,0,0
4,2,5,1,2,121,0,5,0,2,25,0,3,0,3,13,0,5
5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
6,0,11,2,0,4,0,71,0,1,9,0,2,0,0,8,1,0
7,0,0,1,1,1,0,1,10,2,0,1,3,0,0,3,0,0
8,1,1,1,1,2,0,1,0,599,0,5,14,0,0,4,1,0
9,2,7,0,2,23,0,14,1,2,129,0,1,0,0,7,0,4
10,0,0,0,0,0,0,0,0,4,0,5,5,0,0,2,0,0
11,0,0,8,5,2,0,1,1,17,2,4,289,0,0,31,0,0
12,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,1,0,0,0,0,4,0,14,0,0,0
14,5,3,18,4,9,0,2,0,4,0,0,29,0,0,283,0,0
15,0,3,1,0,1,0,0,0,3,1,0,0,0,0,1,17,1
16,0,2,0,0,0,0,0,0,0,4,0,0,0,0,1,9,60
